Date,Category,Amount,Payment Method,Description
12-10-2023,Income,324,Nagad,Groceries 
25-10-2024,Expense,377,Bkash,Groceries 
18-12-2023,Expense,529,Cash,Rent 
11-08-2024,Income,539,Cash,Shopping 
02-12-2024,Expense,962,Bkash,Shopping 
07-09-2023,Income,837,Credit Card,Shopping 
23-11-2024,Income,109,Cash,Transfer 
17-02-2024,Expense,367,Bkash,Rent 
06-11-2023,Expense,194,Nagad,Salary 
01-07-2024,Income,952,Credit Card,Groceries 
09-11-2024,Expense,808,Cash,Transfer 
16-05-2024,Expense,397,Credit Card,Groceries 
15-04-2024,Income,494,Cash,Groceries 
04-10-2023,Income,557,Bkash,Rent 
08-06-2024,Expense,398,Credit Card,Salary 
01-03-2024,Expense,289,Cash,Shopping 
15-09-2023,Income,773,Nagad,Transfer 
16-06-2023,Income,492,Nagad,Groceries 
28-11-2024,Expense,508,Credit Card,Salary 
12-08-2024,Expense,303,Cash,Shopping 
01-10-2023,Expense,765,Credit Card,Rent 
22-07-2024,Expense,658,Nagad,Rent 
21-02-2023,Expense,930,Nagad,Groceries 
26-11-2023,Expense,959,Credit Card,Rent 
27-10-2024,Expense,979,Cash,Shopping 
26-12-2024,Expense,229,Bkash,Transfer 
09-10-2024,Income,993,Cash,Transfer 
27-03-2024,Expense,451,Bkash,Salary 
05-08-2024,Income,705,Cash,Salary 
04-06-2023,Income,295,Nagad,Salary 
15-03-2023,Income,359,Nagad,Rent 
01-04-2024,Expense,134,Bkash,Groceries 
22-11-2023,Income,749,Credit Card,Rent 
21-07-2023,Expense,435,Cash,Rent 
16-04-2023,Income,110,Nagad,Salary 
22-11-2024,Expense,243,Cash,Transfer 
24-07-2023,Income,863,Bkash,Rent 
16-05-2024,Expense,154,Nagad,Rent 
14-09-2023,Income,952,Bkash,Transfer 
18-07-2024,Income,806,Cash,Transfer 
21-08-2024,Expense,257,Cash,Shopping 
05-07-2023,Expense,626,Cash,Salary 
06-12-2023,Expense,147,Nagad,Transfer 
15-02-2024,Expense,976,Nagad,Salary 
03-01-2023,Expense,632,Credit Card,Shopping 
28-12-2023,Expense,726,Cash,Salary 
28-02-2024,Expense,675,Credit Card,Transfer 
25-06-2023,Income,332,Credit Card,Rent 
05-02-2023,Expense,143,Bkash,Groceries 
16-09-2023,Income,796,Bkash,Rent 
25-10-2024,Expense,744,Nagad,Groceries 
17-12-2023,Expense,279,Credit Card,Rent 
26-05-2023,Income,997,Cash,Transfer 
06-06-2024,Income,462,Bkash,Transfer 
18-04-2024,Income,501,Nagad,Shopping 
23-10-2024,Expense,456,Nagad,Shopping 
10-01-2023,Income,746,Bkash,Transfer 
21-08-2023,Income,939,Credit Card,Rent 
26-03-2023,Income,803,Credit Card,Transfer 
17-02-2023,Income,301,Credit Card,Rent 
17-06-2023,Expense,438,Nagad,Rent 
14-03-2024,Income,973,Bkash,Shopping 
24-02-2024,Income,659,Bkash,Rent 
02-10-2023,Income,141,Cash,Groceries 
